Podcast_Name,Episode_Title,Episode_Length_minutes,Genre,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment,Listening_Time_minutes
Detective Diaries,Episode 49,25.69,True Crime,45.79,Wednesday,Night,71.17,2,Neutral,12.70633742
Global News,Episode 66,,News,30.87,Wednesday,Morning,17.97,1,Neutral,
Money Matters,Episode 61,112.35,Business,25.25,Wednesday,Night,,0,Positive,61.74647658
Tune Time,Episode 16,33.23,Music,24.41,Wednesday,Night,,0,Positive,22.56486614
Health Hour,Episode 35,26.82,Health,27.73,Wednesday,Night,90.64,0,Neutral,18.0042758
Health Hour,Episode 73,117.06,Health,80.08,Wednesday,Morning,1.41,3,Negative,113.1735857
Finance Focus,Episode 75,82.91,Business,31.42,Wednesday,Afternoon,4.2,0,Negative,60.44123447
Educational Nuggets,Episode 41,86.39,Education,33.77,Wednesday,Afternoon,61.26,3,Positive,
Gadget Geek,Episode 95,87.45,Technology,40.58,Wednesday,Night,39.52,1,Positive,44.57477773
Humor Hub,Episode 23,46.18,Comedy,20.12,Wednesday,Night,48.07,0,Negative,33.93102497
Educational Nuggets,Episode 34,,Education,22.47,Wednesday,Evening,88.97,3,Negative,38.63700537
Sound Waves,Episode 3,44.61,Music,47.77,Wednesday,Afternoon,73.28,2,Neutral,27.94414726
Educational Nuggets,Episode 43,31.35,Education,52.59,Wednesday,Morning,4.96,2,Positive,
Mind & Body,Episode 43,72.94,Health,99.39,Wednesday,Afternoon,87.6,3,Negative,65.00711855
Learning Lab,Episode 94,63.6,Education,36.87,Wednesday,Evening,13.8,0,Neutral,43.44842757
Business Insights,Episode 87,,Business,21.21,Wednesday,Afternoon,90.87,0,Negative,31.22225746
Fitness First,Episode 94,52.16,Health,76.83,Wednesday,Night,34.76,3,Negative,31.07551906
Wellness Wave,Episode 90,58.93,Health,37.48,Wednesday,Morning,4.76,0,Positive,28.37873016
Sport Spot,Episode 52,41.67,Sports,85.24,Wednesday,Evening,37.2,2,Negative,40.56490571
Fitness First,Episode 12,54.08,Health,28.37,Wednesday,Evening,34.42,3,Negative,45.44452704
Joke Junction,Episode 65,26.69,Comedy,76.82,Wednesday,Afternoon,42.84,0,Negative,22.24991561
Innovators,Episode 5,33.46,Technology,27.81,Wednesday,Night,46.78,0,Negative,26.7885901
Learning Lab,Episode 8,100.65,Education,31.05,Wednesday,Night,71.73,2,Positive,62.95407406
Mind & Body,Episode 93,50.29,Health,95.93,Wednesday,Morning,,0,Negative,31.18235387
Crime Chronicles,Episode 15,67.96,True Crime,41.88,Wednesday,Morning,95.1,0,Neutral,56.01471561
Home & Living,Episode 50,47.84,Lifestyle,59.71,Wednesday,Morning,68.75,0,Positive,36.36371853
Mind & Body,Episode 6,20.98,Health,63.61,Wednesday,Night,,2,Positive,8.372617401
Market Masters,Episode 28,,Business,27.45,Wednesday,Afternoon,38.33,3,Neutral,79.5376886
Mystery Matters,Episode 87,110.54,True Crime,92.92,Wednesday,Afternoon,54.45,3,Negative,104.8594621
Fitness First,Episode 40,18.87,Health,75.0,Wednesday,Evening,,0,Positive,
Lifestyle Lounge,Episode 41,69.29,Lifestyle,68.12,Wednesday,Evening,36.94,0,Negative,67.88444066
Melody Mix,Episode 30,94.1,Music,57.36,Wednesday,Morning,74.95,2,Negative,56.90331927
Tech Talks,Episode 25,60.99,Technology,60.04,Wednesday,Afternoon,68.09,0,Negative,36.04876624
Healthy Living,Episode 67,106.39,Health,43.66,Wednesday,Night,36.56,3,Negative,48.16597415
Funny Folks,Episode 73,15.09,Comedy,72.09,Wednesday,Afternoon,31.33,1,Negative,5.72512536
Gadget Geek,Episode 4,,Technology,66.37,Wednesday,Morning,8.33,0,Positive,35.55245881
Daily Digest,Episode 39,104.98,News,79.4,Wednesday,Morning,,0,Positive,60.66277771
Criminal Minds,Episode 90,9.73,True Crime,80.3,Wednesday,Afternoon,27.68,1,Negative,0.850370882
Game Day,Episode 79,68.74,Sports,32.37,Wednesday,Night,46.44,0,Negative,53.59914836
Game Day,Episode 93,27.8,Sports,87.25,Wednesday,Night,,3,Negative,
Health Hour,Episode 23,6.75,Health,98.15,Wednesday,Night,1.68,3,Positive,0.0
Global News,Episode 7,68.07,News,78.65,Wednesday,Evening,,1,Negative,43.94062815
Joke Junction,Episode 82,49.63,Comedy,68.26,Wednesday,Afternoon,,3,Negative,19.0605598
Study Sessions,Episode 4,68.28,Education,81.96,Wednesday,Night,84.79,1,Negative,53.88136999
Innovators,Episode 88,102.16,Technology,88.51,Wednesday,Afternoon,87.64,1,Negative,100.5516027
Business Insights,Episode 47,,Business,46.66,Wednesday,Morning,15.87,2,Neutral,
Tech Trends,Episode 51,52.28,Technology,85.99,Wednesday,Afternoon,35.98,0,Neutral,31.22586916
Sound Waves,Episode 90,55.48,Music,99.06,Wednesday,Night,11.86,1,Neutral,43.39150488
News Roundup,Episode 21,98.08,News,42.42,Wednesday,Morning,86.29,0,Positive,63.97435327
Healthy Living,Episode 58,95.64,Health,77.64,Wednesday,Afternoon,5.46,3,Positive,49.96951291
Fitness First,Episode 40,59.2,Health,35.1,Wednesday,Evening,11.02,0,Positive,47.39022508
Mystery Matters,Episode 23,101.04,True Crime,94.01,Wednesday,Night,55.9,1,Neutral,
Finance Focus,Episode 53,,Business,55.78,Wednesday,Night,21.21,3,Negative,58.96335866
Educational Nuggets,Episode 98,52.12,Education,48.33,Wednesday,Evening,98.86,3,Positive,34.73425213
Melody Mix,Episode 58,104.7,Music,43.23,Wednesday,Morning,57.68,3,Neutral,95.49704227
Mind & Body,Episode 98,114.57,Health,57.96,Wednesday,Night,91.68,2,Positive,105.1132094
Mystery Matters,Episode 44,20.11,True Crime,66.07,Wednesday,Night,72.1,1,Positive,11.95158377
Joke Junction,Episode 55,106.64,Comedy,73.0,Wednesday,Evening,65.67,2,Positive,65.38895672
Laugh Line,Episode 97,41.32,Comedy,45.6,Wednesday,Night,68.95,2,Neutral,26.41777768
Sports Weekly,Episode 74,101.08,Sports,92.76,Wednesday,Morning,35.13,1,Negative,
Humor Hub,Episode 90,,Comedy,29.22,Wednesday,Morning,36.0,0,Positive,73.89398529
Fitness First,Episode 83,23.8,Health,48.98,Wednesday,Night,50.18,0,Positive,15.13000776
Sound Waves,Episode 30,40.76,Music,64.84,Wednesday,Night,40.77,1,Neutral,40.22735783
Money Matters,Episode 6,34.53,Business,82.03,Wednesday,Evening,39.51,0,Neutral,26.78048796
Home & Living,Episode 48,40.23,Lifestyle,25.69,Wednesday,Afternoon,74.85,1,Negative,33.94685856
Funny Folks,Episode 80,40.33,Comedy,92.22,Wednesday,Afternoon,67.45,1,Negative,38.22563887
Athlete's Arena,Episode 80,,Sports,89.67,Wednesday,Morning,82.08,3,Neutral,45.43867623
Mind & Body,Episode 79,106.78,Health,85.84,Wednesday,Afternoon,63.75,0,Neutral,105.449761
Joke Junction,Episode 32,,Comedy,80.02,Wednesday,Afternoon,41.11,1,Negative,40.61231075
Style Guide,Episode 82,114.78,Lifestyle,30.0,Wednesday,Morning,,1,Neutral,68.99824521
Gadget Geek,Episode 68,59.59,Technology,30.18,Wednesday,Morning,82.63,2,Positive,53.61475385
Music Matters,Episode 69,31.05,Music,27.1,Wednesday,Night,20.05,0,Negative,
Business Briefs,Episode 30,,Business,41.27,Wednesday,Night,15.2,3,Negative,64.71363982
Joke Junction,Episode 33,,Comedy,98.71,Wednesday,Morning,,0,Negative,29.78307701
Wellness Wave,Episode 81,28.28,Health,97.89,Wednesday,Evening,38.41,3,Neutral,19.70654756
Health Hour,Episode 89,55.05,Health,80.42,Wednesday,Afternoon,51.96,0,Neutral,25.62615895
Tech Trends,Episode 48,18.74,Technology,94.65,Wednesday,Night,37.09,0,Neutral,
Melody Mix,Episode 90,110.61,Music,70.06,Wednesday,Evening,,2,Neutral,96.37775015
Tech Talks,Episode 2,107.88,Technology,77.8,Wednesday,Morning,84.22,3,Neutral,83.28664389
Healthy Living,Episode 86,25.86,Health,22.24,Wednesday,Evening,37.33,0,Neutral,18.34801614
Style Guide,Episode 15,19.55,Lifestyle,34.16,Wednesday,Night,29.12,3,Neutral,2.769905201
Study Sessions,Episode 46,22.9,Education,89.41,Wednesday,Evening,92.76,0,Negative,22.9
Home & Living,Episode 91,63.62,Lifestyle,47.66,Wednesday,Afternoon,,0,Neutral,63.62
Market Masters,Episode 87,111.44,Business,66.38,Wednesday,Evening,,1,Neutral,97.2999417
Sports Weekly,Episode 22,23.38,Sports,75.34,Wednesday,Morning,93.36,3,Positive,7.556534453
Business Briefs,Episode 84,40.97,Business,49.31,Wednesday,Afternoon,24.97,1,Negative,40.97
Athlete's Arena,Episode 31,70.2,Sports,80.31,Wednesday,Afternoon,35.6,1,Neutral,70.2
Business Briefs,Episode 12,,Business,71.3,Wednesday,Evening,76.35,3,Neutral,44.91719749
Style Guide,Episode 33,42.74,Lifestyle,51.06,Wednesday,Afternoon,72.73,2,Negative,37.38673813
Laugh Line,Episode 69,20.73,Comedy,97.08,Wednesday,Morning,99.08,1,Neutral,20.73
Fitness First,Episode 93,,Health,60.06,Wednesday,Afternoon,72.67,2,Positive,66.93620361
Study Sessions,Episode 17,64.22,Education,94.11,Wednesday,Evening,62.0,1,Negative,47.82135729
Crime Chronicles,Episode 11,40.15,True Crime,87.89,Wednesday,Morning,86.09,3,Neutral,32.35876975
Style Guide,Episode 45,22.74,Lifestyle,76.66,Wednesday,Evening,59.54,1,Positive,6.492090975
Game Day,Episode 46,,Sports,22.03,Wednesday,Evening,64.54,3,Neutral,
Home & Living,Episode 97,90.38,Lifestyle,62.43,Wednesday,Afternoon,49.57,2,Positive,77.13717965
Athlete's Arena,Episode 28,52.42,Sports,49.51,Wednesday,Night,39.15,0,Positive,52.42
Brain Boost,Episode 75,12.72,Education,28.82,Wednesday,Afternoon,16.14,3,Neutral,
Healthy Living,Episode 32,,Health,29.46,Wednesday,Night,63.38,1,Negative,16.31186438
Global News,Episode 34,,News,70.69,Wednesday,Afternoon,96.09,2,Positive,37.31719909
Life Lessons,Episode 5,51.17,Lifestyle,56.54,Wednesday,Evening,49.78,1,Negative,41.85156383
Tune Time,Episode 81,93.83,Music,89.98,Wednesday,Evening,54.39,0,Positive,92.77553189
Funny Folks,Episode 99,11.75,Comedy,80.86,Wednesday,Morning,45.52,0,Neutral,11.75
Global News,Episode 59,94.27,News,93.87,Wednesday,Afternoon,19.13,2,Neutral,56.11695479
Sports Central,Episode 97,61.56,Sports,78.09,Wednesday,Night,62.82,1,Positive,57.0504444
Crime Chronicles,Episode 23,6.68,True Crime,62.05,Wednesday,Night,37.65,1,Positive,5.576835436
Finance Focus,Episode 57,110.08,Business,74.31,Wednesday,Afternoon,13.27,3,Neutral,
Laugh Line,Episode 32,69.16,Comedy,98.61,Wednesday,Night,22.71,2,Positive,38.95683027
Fashion Forward,Episode 5,76.64,Lifestyle,85.75,Wednesday,Night,,1,Neutral,69.47920278
Laugh Line,Episode 48,112.66,Comedy,88.67,Wednesday,Evening,2.48,1,Negative,86.18627122
Tech Talks,Episode 86,57.65,Technology,28.86,Wednesday,Evening,66.32,3,Neutral,31.25489632
Melody Mix,Episode 11,86.92,Music,38.13,Wednesday,Afternoon,61.52,0,Negative,86.92
Gadget Geek,Episode 86,42.22,Technology,86.78,Wednesday,Night,24.58,3,Negative,
Laugh Line,Episode 64,99.24,Comedy,36.02,Wednesday,Evening,,1,Neutral,59.68909748
Educational Nuggets,Episode 15,66.24,Education,23.41,Wednesday,Night,,3,Neutral,38.09963675
Mind & Body,Episode 73,89.14,Health,51.03,Wednesday,Night,67.41,1,Neutral,89.14
Tech Trends,Episode 72,8.09,Technology,48.77,Wednesday,Evening,78.7,2,Neutral,1.83157559
Business Briefs,Episode 91,80.29,Business,66.91,Wednesday,Evening,67.97,3,Neutral,71.32077633
Lifestyle Lounge,Episode 50,,Lifestyle,58.25,Wednesday,Night,53.27,3,Negative,44.87014384
News Roundup,Episode 69,75.27,News,66.33,Wednesday,Afternoon,89.81,0,Neutral,45.29213053
Athlete's Arena,Episode 64,75.59,Sports,84.83,Wednesday,Evening,,0,Neutral,74.41227184
Current Affairs,Episode 62,13.46,News,28.22,Wednesday,Evening,90.27,0,Neutral,7.175858206
Lifestyle Lounge,Episode 26,85.78,Lifestyle,66.87,Wednesday,Night,40.32,1,Neutral,85.31605845
Innovators,Episode 77,21.87,Technology,60.5,Wednesday,Morning,35.32,3,Negative,5.141116911
Home & Living,Episode 10,78.98,Lifestyle,31.75,Wednesday,Morning,99.15,0,Negative,70.82440298
Sports Weekly,Episode 39,,Sports,69.75,Wednesday,Evening,56.9,1,Positive,12.97
Music Matters,Episode 62,85.04,Music,49.88,Wednesday,Evening,11.7,3,Negative,
Market Masters,Episode 67,49.64,Business,90.92,Wednesday,Afternoon,25.71,1,Positive,36.34725639
Sports Weekly,Episode 13,69.35,Sports,62.07,Wednesday,Afternoon,1.68,3,Positive,35.39268301
Mind & Body,Episode 53,54.36,Health,59.91,Wednesday,Evening,2.18,0,Neutral,42.21826593
Fitness First,Episode 18,63.26,Health,27.63,Wednesday,Evening,,0,Positive,27.91600079
Detective Diaries,Episode 26,86.3,True Crime,72.98,Wednesday,Afternoon,79.56,3,Negative,84.65577482
Tech Talks,Episode 21,38.32,Technology,49.83,Wednesday,Night,84.92,2,Positive,33.76494229
Humor Hub,Episode 73,45.65,Comedy,50.93,Wednesday,Morning,98.49,1,Negative,30.540037
Educational Nuggets,Episode 31,53.12,Education,74.1,Wednesday,Evening,,1,Neutral,36.33351735
Sound Waves,Episode 73,,Music,50.96,Wednesday,Morning,4.98,3,Neutral,27.75591851
Fitness First,Episode 22,119.89,Health,46.11,Wednesday,Evening,25.25,3,Neutral,61.18501568
Mystery Matters,Episode 96,,True Crime,59.05,Wednesday,Evening,86.02,0,Negative,34.67820627
Wellness Wave,Episode 94,15.49,Health,51.63,Wednesday,Afternoon,17.27,0,Positive,15.49
Market Masters,Episode 63,57.53,Business,21.44,Wednesday,Evening,0.61,3,Positive,26.40685515
Educational Nuggets,Episode 80,18.28,Education,59.4,Wednesday,Afternoon,91.23,2,Negative,13.13920691
Lifestyle Lounge,Episode 26,108.43,Lifestyle,90.36,Wednesday,Evening,88.22,1,Neutral,108.43
Joke Junction,Episode 19,56.58,Comedy,75.38,Wednesday,Evening,44.26,3,Neutral,41.17386521
Health Hour,Episode 50,117.42,Health,97.91,Wednesday,Night,20.99,3,Neutral,98.16333331
Style Guide,Episode 97,29.3,Lifestyle,24.37,Wednesday,Night,38.76,0,Neutral,17.70166429
Tech Trends,Episode 42,93.74,Technology,28.72,Wednesday,Afternoon,88.67,3,Negative,62.81231687
Funny Folks,Episode 10,75.03,Comedy,41.5,Wednesday,Morning,40.72,3,Negative,66.91644616
Finance Focus,Episode 98,98.99,Business,38.85,Wednesday,Afternoon,62.07,2,Neutral,
Home & Living,Episode 94,20.92,Lifestyle,53.29,Wednesday,Morning,10.72,1,Neutral,10.11512116
Business Insights,Episode 70,64.31,Business,84.43,Wednesday,Afternoon,22.04,0,Positive,42.92224314
Tune Time,Episode 97,15.82,Music,32.51,Wednesday,Afternoon,18.66,3,Negative,11.86755343
Melody Mix,Episode 62,57.26,Music,65.25,Wednesday,Night,17.14,3,Positive,39.73057057
Melody Mix,Episode 25,26.38,Music,48.0,Wednesday,Afternoon,0.88,1,Negative,26.38
Tech Talks,Episode 78,60.89,Technology,23.44,Wednesday,Afternoon,8.49,2,Negative,36.359272
Brain Boost,Episode 71,17.83,Education,62.96,Wednesday,Afternoon,9.0,2,Positive,16.22925401
Brain Boost,Episode 71,,Education,77.71,Wednesday,Morning,39.41,3,Positive,45.44779212
Wellness Wave,Episode 32,110.24,Health,83.95,Wednesday,Evening,30.9,2,Negative,71.27685272
Global News,Episode 57,83.89,News,75.26,Wednesday,Afternoon,0.89,1,Positive,39.65703144
Comedy Corner,Episode 67,24.58,Comedy,21.16,Wednesday,Morning,42.9,2,Negative,21.3943513
Healthy Living,Episode 63,63.87,Health,43.79,Wednesday,Evening,81.24,1,Neutral,43.22897233
Game Day,Episode 27,,Sports,37.57,Wednesday,Morning,57.17,0,Negative,23.55376376
True Crime Stories,Episode 38,48.84,True Crime,53.5,Wednesday,Afternoon,,3,Negative,46.39412002
News Roundup,Episode 46,,News,23.77,Wednesday,Afternoon,30.64,1,Positive,84.22561191
Healthy Living,Episode 22,44.5,Health,70.82,Wednesday,Night,61.34,1,Neutral,40.72909031
Music Matters,Episode 1,61.15,Music,63.47,Wednesday,Evening,24.9,3,Neutral,49.18685511
Criminal Minds,Episode 19,55.58,True Crime,86.41,Wednesday,Morning,64.51,3,Neutral,
Humor Hub,Episode 32,48.56,Comedy,87.44,Wednesday,Night,18.02,0,Neutral,48.56
True Crime Stories,Episode 55,70.06,True Crime,43.38,Wednesday,Night,11.89,0,Positive,60.38657935
Business Briefs,Episode 10,107.15,Business,25.76,Wednesday,Evening,,3,Neutral,57.12341358
Wellness Wave,Episode 52,22.43,Health,85.52,Wednesday,Evening,27.24,3,Neutral,16.28222862
Fitness First,Episode 37,63.67,Health,99.96,Wednesday,Evening,65.39,0,Positive,45.75669893
Sports Central,Episode 13,90.29,Sports,69.35,Wednesday,Morning,,2,Positive,44.07027777
Sports Central,Episode 19,,Sports,69.14,Wednesday,Morning,24.9,1,Positive,
Current Affairs,Episode 32,36.4,News,43.14,Wednesday,Afternoon,57.91,3,Negative,7.1922872
Athlete's Arena,Episode 82,101.45,Sports,53.88,Wednesday,Night,20.04,1,Neutral,88.65388036
Fitness First,Episode 87,44.31,Health,36.2,Wednesday,Night,3.6,1,Neutral,44.31
Fashion Forward,Episode 75,25.99,Lifestyle,95.85,Wednesday,Night,91.23,2,Positive,25.99
Tech Trends,Episode 31,106.59,Technology,66.88,Wednesday,Night,87.07,1,Positive,92.26597561
Crime Chronicles,Episode 32,,True Crime,55.61,Wednesday,Morning,82.88,0,Positive,45.89155376
Innovators,Episode 13,,Technology,90.62,Wednesday,Evening,12.95,3,Positive,44.83148933
Criminal Minds,Episode 30,79.78,True Crime,49.96,Wednesday,Morning,74.52,2,Neutral,63.44752859
Tech Talks,Episode 75,79.35,Technology,63.35,Wednesday,Afternoon,88.83,2,Neutral,43.4135699
Crime Chronicles,Episode 89,,True Crime,44.61,Wednesday,Evening,26.24,0,Neutral,48.69458782
Digital Digest,Episode 68,50.83,Technology,60.72,Wednesday,Evening,56.94,1,Negative,34.41161627
Health Hour,Episode 2,56.43,Health,87.01,Wednesday,Afternoon,57.13,2,Negative,47.53114183
Life Lessons,Episode 42,74.87,Lifestyle,58.6,Wednesday,Evening,17.97,0,Positive,74.87
Current Affairs,Episode 48,89.06,News,90.55,Wednesday,Night,36.99,2,Positive,
Fitness First,Episode 22,23.74,Health,28.56,Wednesday,Morning,49.9,3,Positive,14.70106369
Current Affairs,Episode 4,82.32,News,86.35,Wednesday,Night,,1,Neutral,65.72375701
Tune Time,Episode 73,78.53,Music,41.73,Wednesday,Afternoon,41.34,2,Neutral,35.22450385
Innovators,Episode 50,107.39,Technology,98.54,Wednesday,Night,93.64,2,Negative,73.4462702
Style Guide,Episode 66,70.37,Lifestyle,29.84,Wednesday,Night,38.38,1,Neutral,32.35452493
Daily Digest,Episode 42,104.85,News,54.19,Wednesday,Afternoon,,0,Positive,71.57315482
Business Insights,Episode 100,11.92,Business,89.86,Wednesday,Morning,38.73,3,Negative,11.92
World Watch,Episode 85,47.99,News,32.73,Wednesday,Morning,17.07,3,Neutral,34.56645757
World Watch,Episode 37,8.51,News,65.41,Wednesday,Afternoon,78.79,2,Positive,8.51
Criminal Minds,Episode 61,39.19,True Crime,54.69,Wednesday,Evening,70.41,1,Negative,28.38523944
Crime Chronicles,Episode 58,54.88,True Crime,86.67,Wednesday,Night,80.86,0,Negative,35.47881147
Sport Spot,Episode 56,119.87,Sports,50.06,Wednesday,Night,23.18,1,Negative,88.53969595
Lifestyle Lounge,Episode 65,81.72,Lifestyle,46.38,Wednesday,Night,87.75,1,Positive,56.88685156
Funny Folks,Episode 76,103.39,Comedy,57.2,Wednesday,Evening,71.32,3,Neutral,70.92215213
Fitness First,Episode 58,83.32,Health,35.16,Wednesday,Afternoon,97.29,0,Negative,63.46315452
Detective Diaries,Episode 39,61.06,True Crime,24.1,Wednesday,Afternoon,84.67,1,Positive,46.28274774
Study Sessions,Episode 78,97.11,Education,37.76,Wednesday,Morning,,3,Positive,75.43380971
Study Sessions,Episode 44,45.23,Education,76.15,Wednesday,Night,97.9,0,Positive,33.29157589
Health Hour,Episode 87,101.68,Health,63.26,Wednesday,Morning,60.2,3,Positive,71.57437366
Crime Chronicles,Episode 88,50.04,True Crime,62.61,Wednesday,Afternoon,64.79,2,Negative,36.96629271
Funny Folks,Episode 57,46.2,Comedy,89.7,Wednesday,Evening,33.76,0,Positive,37.51459824
Study Sessions,Episode 52,80.4,Education,77.48,Wednesday,Evening,63.01,3,Positive,71.32957959
Money Matters,Episode 65,16.85,Business,73.29,Wednesday,Morning,27.66,2,Negative,4.558225178
Game Day,Episode 73,98.06,Sports,72.07,Wednesday,Afternoon,78.75,0,Positive,98.06
Brain Boost,Episode 6,75.06,Education,27.9,Wednesday,Night,56.39,1,Negative,53.87268792
News Roundup,Episode 37,118.53,News,85.63,Wednesday,Night,94.8,0,Neutral,100.8937999
Style Guide,Episode 36,106.64,Lifestyle,93.43,Wednesday,Morning,41.11,2,Neutral,
Tech Trends,Episode 95,,Technology,21.13,Wednesday,Afternoon,59.7,3,Positive,2.508170189
Sports Weekly,Episode 78,84.56,Sports,80.33,Wednesday,Morning,76.28,2,Negative,61.67913205
Tech Trends,Episode 12,96.65,Technology,73.72,Wednesday,Morning,,0,Positive,96.65
Home & Living,Episode 26,39.56,Lifestyle,61.41,Wednesday,Afternoon,12.41,3,Neutral,21.55495868
Tech Talks,Episode 26,103.79,Technology,47.91,Wednesday,Night,36.05,3,Neutral,80.35748572
Market Masters,Episode 12,,Business,26.08,Wednesday,Night,86.93,3,Neutral,10.08422857
Detective Diaries,Episode 77,62.52,True Crime,21.81,Wednesday,Night,27.62,2,Neutral,31.61781365
Joke Junction,Episode 50,94.06,Comedy,95.42,Wednesday,Evening,39.24,3,Neutral,80.19010549
Market Masters,Episode 6,54.52,Business,83.3,Wednesday,Afternoon,19.26,2,Negative,31.26094971
Style Guide,Episode 82,11.87,Lifestyle,97.44,Wednesday,Morning,81.04,1,Neutral,11.87
Daily Digest,Episode 27,23.42,News,41.39,Wednesday,Morning,78.75,2,Positive,14.77839096
Crime Chronicles,Episode 36,43.61,True Crime,94.67,Wednesday,Morning,20.33,1,Neutral,19.15017281
Game Day,Episode 53,92.72,Sports,47.55,Wednesday,Evening,78.07,2,Positive,66.85689279
Laugh Line,Episode 43,,Comedy,25.09,Wednesday,Evening,8.8,0,Positive,33.86723146
Game Day,Episode 76,57.81,Sports,99.19,Wednesday,Morning,26.1,0,Positive,31.94707425
Health Hour,Episode 18,102.54,Health,56.44,Wednesday,Morning,54.53,0,Neutral,94.21386821
Global News,Episode 20,102.66,News,30.49,Wednesday,Night,,2,Positive,
Study Sessions,Episode 16,97.7,Education,40.08,Wednesday,Evening,16.18,0,Positive,59.59530443
Home & Living,Episode 100,42.88,Lifestyle,26.87,Wednesday,Night,45.89,3,Positive,34.71473728
Healthy Living,Episode 25,28.11,Health,21.15,Wednesday,Afternoon,61.13,3,Neutral,14.25180276
True Crime Stories,Episode 43,25.06,True Crime,69.31,Wednesday,Morning,23.69,2,Negative,23.83415143
Digital Digest,Episode 6,36.29,Technology,43.58,Wednesday,Afternoon,57.26,1,Positive,29.2549517
Music Matters,Episode 53,8.4,Music,50.16,Wednesday,Afternoon,29.35,2,Neutral,0.0
Mind & Body,Episode 23,68.91,Health,55.91,Wednesday,Morning,,3,Negative,
Tune Time,Episode 63,56.42,Music,25.98,Wednesday,Morning,52.77,3,Negative,25.62192769
Music Matters,Episode 66,45.55,Music,44.89,Wednesday,Night,63.84,3,Negative,29.09811597
Study Sessions,Episode 88,6.6,Education,72.0,Wednesday,Afternoon,37.65,1,Positive,6.6
Brain Boost,Episode 18,52.4,Education,63.99,Wednesday,Afternoon,21.28,3,Positive,
Business Briefs,Episode 90,100.22,Business,40.0,Wednesday,Night,23.57,0,Positive,100.22
Money Matters,Episode 66,19.88,Business,49.97,Wednesday,Afternoon,68.4,0,Negative,
Business Insights,Episode 99,102.52,Business,63.86,Wednesday,Afternoon,67.93,0,Negative,
Athlete's Arena,Episode 54,107.04,Sports,54.51,Wednesday,Morning,87.03,1,Neutral,66.49731998
Joke Junction,Episode 18,44.38,Comedy,42.69,Wednesday,Night,89.19,1,Positive,38.91787816
Market Masters,Episode 64,61.82,Business,65.28,Wednesday,Evening,15.12,3,Neutral,28.31605107
Laugh Line,Episode 79,15.5,Comedy,61.08,Wednesday,Afternoon,73.04,0,Neutral,7.801005579
Mystery Matters,Episode 43,103.75,True Crime,64.58,Wednesday,Afternoon,,0,Neutral,102.3479554
Current Affairs,Episode 72,37.91,News,51.28,Wednesday,Night,1.93,3,Negative,32.40126073
News Roundup,Episode 94,118.1,News,85.01,Wednesday,Night,87.23,1,Negative,118.1
Finance Focus,Episode 82,76.15,Business,47.61,Wednesday,Night,79.25,0,Positive,58.500422
Lifestyle Lounge,Episode 23,,Lifestyle,97.55,Wednesday,Night,22.79,0,Neutral,26.37591718
Digital Digest,Episode 63,,Technology,42.04,Wednesday,Night,64.37,2,Negative,
Learning Lab,Episode 67,47.07,Education,88.23,Wednesday,Night,32.57,1,Negative,17.54335974
Humor Hub,Episode 89,87.34,Comedy,47.01,Wednesday,Afternoon,86.62,0,Negative,55.29783284
Sports Weekly,Episode 13,57.38,Sports,74.01,Wednesday,Night,20.05,0,Negative,29.72123831
Tech Trends,Episode 30,61.15,Technology,92.99,Wednesday,Afternoon,6.65,2,Neutral,53.44931786
Daily Digest,Episode 69,,News,76.7,Wednesday,Morning,37.81,3,Positive,
Sport Spot,Episode 59,42.18,Sports,34.23,Wednesday,Morning,42.26,3,Positive,18.63655438
Laugh Line,Episode 6,29.02,Comedy,66.73,Wednesday,Night,,1,Negative,13.20527145
Tech Trends,Episode 89,13.26,Technology,56.23,Wednesday,Evening,85.52,2,Positive,1.783995114
Wellness Wave,Episode 62,70.66,Health,92.57,Wednesday,Morning,84.96,0,Neutral,
Tech Trends,Episode 28,7.91,Technology,89.07,Wednesday,Afternoon,15.92,3,Positive,7.91
Joke Junction,Episode 81,89.9,Comedy,31.37,Wednesday,Evening,35.38,3,Positive,
Tune Time,Episode 80,31.01,Music,61.57,Wednesday,Evening,92.67,1,Positive,31.01
Healthy Living,Episode 6,,Health,47.27,Wednesday,Morning,76.89,1,Positive,37.222533
Life Lessons,Episode 83,94.75,Lifestyle,28.82,Wednesday,Afternoon,96.85,2,Positive,60.59896112
Athlete's Arena,Episode 84,72.59,Sports,40.05,Wednesday,Evening,33.95,2,Positive,59.575149
News Roundup,Episode 94,,News,89.96,Wednesday,Night,97.78,1,Positive,99.13567485
World Watch,Episode 84,34.5,News,73.17,Wednesday,Afternoon,11.77,1,Positive,22.52384507
Daily Digest,Episode 33,95.58,News,28.68,Wednesday,Morning,61.72,2,Positive,53.90813566
Daily Digest,Episode 48,101.12,News,61.87,Wednesday,Morning,86.04,2,Negative,74.91336597
News Roundup,Episode 19,75.86,News,98.18,Wednesday,Afternoon,99.56,1,Negative,45.729953
Lifestyle Lounge,Episode 36,87.38,Lifestyle,33.14,Wednesday,Morning,77.17,1,Positive,82.14838051
Life Lessons,Episode 61,44.3,Lifestyle,27.46,Wednesday,Night,25.87,2,Neutral,26.23521742
Healthy Living,Episode 74,90.11,Health,27.12,Wednesday,Evening,63.85,3,Neutral,39.30575559
